date,amount,type,description
2026-01-20,64408.0,outflow,GST Payment - GSTN portal (GSTR-3B)
2026-01-22,206286.0,inflow,Customer receipt - PhonePe
2026-01-29,8481.0,inflow,FD Interest Income - HDFC Bank
2026-02-03,1233114.0,outflow,Monthly Salary - All Employees (via payroll)
2026-02-05,185000,outflow,"Office Rent - Prestige Tech Park, Bengaluru"
2026-02-06,322422.0,inflow,Customer receipt - TCS Consultancy
2026-02-07,164652.0,inflow,Advance payment - New project onboarding
2026-02-07,48010.0,outflow,TDS Payment - Income Tax Dept (Challan 281)
2026-02-07,28886.0,outflow,"Software Subscriptions - Slack, Jira, Figma, Zoom"
2026-02-09,10351.0,outflow,Internet & Utilities - Airtel Leased Line
2026-02-09,55818.0,outflow,Group Health Insurance - ICICI Lombard
2026-02-10,113448.0,outflow,AWS Cloud Services - Monthly invoice
2026-02-14,201837.0,inflow,Customer receipt - Zomato India
2026-02-14,109562.0,outflow,Marketing Agency - Digital campaigns
2026-02-16,568425.0,inflow,Customer receipt - Reliance Industries
2026-02-17,59467.0,outflow,Professional Fees - CA & Legal Advisory
2026-02-17,23727.0,outflow,Travel & Conveyance - Employee reimbursements
2026-02-20,61310.0,outflow,GST Payment - GSTN portal (GSTR-3B)
2026-02-23,519629.0,inflow,Customer receipt - Wipro Digital
2026-02-24,228000.0,inflow,Customer receipt - HDFC Bank
2026-03-01,9279.0,inflow,FD Interest Income - HDFC Bank
2026-03-03,1211022.0,outflow,Monthly Salary - All Employees (via payroll)
2026-03-05,105614.0,inflow,Customer receipt - Zomato India
2026-03-05,185000,outflow,"Office Rent - Prestige Tech Park, Bengaluru"
2026-03-06,34901.0,outflow,"Software Subscriptions - Slack, Jira, Figma, Zoom"
2026-03-07,34287.0,outflow,TDS Payment - Income Tax Dept (Challan 281)
2026-03-09,10046.0,outflow,Internet & Utilities - Airtel Leased Line
2026-03-10,107412.0,outflow,AWS Cloud Services - Monthly invoice
2026-03-13,158655.0,outflow,Hardware/Equipment Purchase - Laptops & Peripherals
2026-03-14,595331.0,inflow,Customer receipt - Reliance Industries
2026-03-15,203460.0,outflow,Advance Tax Payment - Income Tax Dept
2026-03-20,258165.0,inflow,Customer receipt - HDFC Bank
2026-03-20,80485.0,outflow,GST Payment - GSTN portal (GSTR-3B)
2026-03-24,165291.0,inflow,Customer receipt - Ola Cabs
2026-03-29,10541.0,inflow,FD Interest Income - HDFC Bank
2026-04-03,1443459.0,outflow,Monthly Salary - All Employees (via payroll)
2026-04-05,495742.0,inflow,Customer receipt - Wipro Digital
2026-04-05,185000,outflow,"Office Rent - Prestige Tech Park, Bengaluru"
2026-04-05,39995.0,outflow,"Software Subscriptions - Slack, Jira, Figma, Zoom"
2026-04-07,47459.0,outflow,TDS Payment - Income Tax Dept (Challan 281)
2026-04-07,8587.0,outflow,Internet & Utilities - Airtel Leased Line
2026-04-10,654620.0,inflow,Customer receipt - Infosys Ltd
2026-04-13,84006.0,inflow,GST Input Tax Credit Refund - GSTN
2026-04-13,73500.0,outflow,AWS Cloud Services - Monthly invoice
2026-04-14,149168.0,outflow,Marketing Agency - Digital campaigns
2026-04-15,142424.0,inflow,Customer receipt - Byju's Learning
2026-04-18,23805.0,outflow,Travel & Conveyance - Employee reimbursements
2026-04-20,94048.0,outflow,GST Payment - GSTN portal (GSTR-3B)
2026-04-25,146447.0,inflow,Customer receipt - PhonePe
2026-04-29,13305.0,inflow,FD Interest Income - HDFC Bank
